Date,YM-EF,NKD-EF,NQ-EF,GC-EF,JPYUSD-EF,Z-EF,CL-EF,DXY-EF,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2024-06-13,38677.0,38580.0,19602.5,2300.199951171875,156.8000030517578,458.5,78.62000274658203,105.1999969482422,0.5753600001335144,0.57704097032547,0.5463089942932129,0.5499809980392456,1226689,-161776123.01038533,0.7558086837094312,0.6516016542911529,0.5473946248728746,0.6119185632909704,0.6474198361740866,-0.0355012728831162,-0.0236410490435805,-0.0118602238395356,6.586915476919433,-25104745.0,24.456125402669823,0.6516016542911529,0.6744232380390167,4.588089317222694,9.488690896371835
2024-06-14,38605.0,38555.0,19685.5,2331.39990234375,157.1280059814453,450.0,78.44999694824219,105.5500030517578,0.5499609708786011,0.5677980184555054,0.5364030003547668,0.5405740141868591,1152375,-162622298.33936474,0.756606759758585,0.6437316536903381,0.5308565476220912,0.6009424788134148,0.6395053308416994,-0.0385628520282845,-0.0266254096405213,-0.0119374423877631,6.894311373458503,-26257120.0,24.132366109614097,0.6437316536903381,0.6714348185062409,2.316625322687636,8.671962967565529
2024-06-15,38605.0,38555.0,19685.5,2331.39990234375,157.1280059814453,450.0,78.44999694824219,105.5500030517578,0.5405679941177368,0.5412920117378235,0.5269439816474915,0.5282430052757263,481981,-163017005.37587932,0.7559926408059225,0.6351856529712677,0.5143786651366129,0.5897579444230011,0.6312636770960718,-0.0415057326730706,-0.0296014742470312,-0.0119042584260394,6.944788660352094,-26739101.0,21.67397707436247,0.6351856529712677,0.6684499788284302,0.6854789117416672,2.5300645172173324
2024-06-16,38605.0,38555.0,19685.5,2331.39990234375,157.1280059814453,450.0,78.44999694824219,105.5500030517578,0.5282809734344482,0.5303189754486084,0.5192170143127441,0.5200049877166748,358758,-163324836.91804373,0.7513954324066957,0.6256588518619537,0.4999222713172117,0.5790267203143356,0.6230222926975979,-0.0439955723832623,-0.0324802938742774,-0.0115152785089848,6.579786143205794,-27097859.0,21.063564107787883,0.6256588518619537,0.6652427387237548,0.4254554978332034,1.1425199107541688
2024-06-17,38818.0,38470.0,19921.25,2312.39990234375,157.54600524902344,443.75,80.33000183105469,105.31999969482422,0.5199429988861084,0.5206230282783508,0.4677149951457977,0.4683499932289123,1233029,-164528268.48017886,0.7525202893482451,0.6139534503221512,0.4753866112960573,0.5619995315319628,0.6115650853295471,-0.0495655537975843,-0.0358973458589388,-0.0136682079386454,7.595998895556432,-28330888.0,18.14557819100561,0.6139534503221512,0.6615366780757904,0.2727842440226026,0.4612395511991577
2024-06-18,38859.0,38660.0,19919.25,2330.39990234375,157.6999969482422,450.0,81.56999969482422,105.26000213623048,0.4683110117912292,0.4683110117912292,0.4106929898262024,0.4204629957675934,2074543,-165899271.27477148,0.7577743109695823,0.6001506492495536,0.442526987529525,0.5402246798759059,0.5974093749916246,-0.0571846951157186,-0.0401548157102948,-0.0170298794054238,8.869916769627133,-30405431.0,14.726776414494395,0.6001506492495536,0.6568183785676956,3.371222699632143,1.356487480495983
2024-06-19,38859.0,38660.0,19919.25,2330.39990234375,157.6999969482422,450.0,81.56999969482422,105.26000213623048,0.420520007610321,0.4310849905014038,0.3900359869003296,0.3924030065536499,1389303,-167128350.7722071,0.7637711194792361,0.5857410505414009,0.4077109816035656,0.5174828839801743,0.5822237180702932,-0.0647408340901188,-0.0450720193862596,-0.0196688147038592,9.65150330884834,-31794734.0,13.91880550298653,0.5857410505414009,0.6520095592737198,0.7624159937490947,1.46880764580128
2024-06-20,39147.0,38590.0,19763.25,2353.800048828125,157.95799255371094,439.75,82.16999816894531,105.58999633789062,0.3924030065536499,0.4713149964809418,0.3922210037708282,0.4673320055007934,2355693,-165009912.3033144,0.7557407481928059,0.5753767505288124,0.3950127528648189,0.5097673642141157,0.5737132208429229,-0.0639458566288071,-0.0488467868347691,-0.015099069794038,8.673323559941556,-29439041.0,25.855451498676373,0.5753767505288124,0.6481473594903946,26.34232270099037,10.158653798123868
2024-06-21,39261.94921875,38520.0,19747.2890625,2316.39990234375,158.93099975585938,435.0,80.7300033569336,105.8000030517578,0.4673810005187988,0.548816978931427,0.4558320045471191,0.4595249891281128,3489617,-168222342.54232368,0.7448655045097483,0.5643861010670662,0.3839066976243841,0.5020377680470384,0.5652548333084925,-0.0632170652614541,-0.0517208425201061,-0.0114962227413479,9.40158773395149,-32928658.0,28.855278633852222,0.5643861010670662,0.6437353390455246,28.76974347848989,18.624827391076447
2024-06-22,39261.94921875,38520.0,19747.2890625,2316.39990234375,158.93099975585938,435.0,80.7300033569336,105.8000030517578,0.4595020115375519,0.5414630174636841,0.4587459862232208,0.5073829889297485,1043487,-168038704.26297206,0.7295670180141315,0.5558137997984887,0.3820605815828458,0.5028601097213015,0.560968030021178,-0.0581079202998765,-0.0529982580760602,-0.0051096622238163,9.230630249208396,-31885171.0,38.95576090614863,0.5558137997984887,0.6397856992483139,49.9553035982144,35.022456592564886
2024-06-23,39261.94921875,38520.0,19747.2890625,2316.39990234375,158.93099975585938,435.0,80.7300033569336,105.8000030517578,0.5072270035743713,0.5320460200309753,0.4689599871635437,0.4708589911460876,803283,-168793626.7120063,0.7145474397351863,0.5457914486527443,0.3770354575703023,0.4979368607097301,0.5542932864008009,-0.0563564256910708,-0.0536698915990623,-0.0026865340920084,10.338340748832133,-32688454.0,32.568604002374286,0.5457914486527443,0.6354268592596054,34.72777831490977,37.81760846387135
2024-06-24,39844.0,38755.0,19750.75,2330.0,159.86099243164062,433.5,81.62999725341797,105.47000122070312,0.4709010124206543,0.4796540141105652,0.4451000094413757,0.4645409882068634,1639539,-168588271.42672294,0.6959756400566458,0.5352280974388123,0.3744805548209787,0.4927990341708275,0.5476449680160648,-0.0548459338452372,-0.0539051000482973,-0.0009408337969399,10.270292974467862,-34327993.0,35.270788803262974,0.5352280974388123,0.630797039270401,38.16737519392007,40.950152369014745
2024-06-25,39526.0,39340.0,19972.25,2316.60009765625,159.68600463867188,425.5,80.83000183105469,105.61000061035156,0.4652479887008667,0.5313479900360107,0.4652479887008667,0.5095229744911194,1707398,-168008376.82059953,0.6754492336682133,0.5272662967443467,0.37908335982048,0.495371948066257,0.5448211166438467,-0.0494491685775896,-0.0530139137541558,0.0035647451765661,9.793307214089548,-32620595.0,44.31161166984327,0.5272662967443467,0.6271819984912872,62.20234370380125,45.03249907087703
2024-06-26,39540.0,39470.0,20012.5,2299.199951171875,159.68600463867188,420.0,80.9000015258789,106.0500030517578,0.5095160007476807,0.5532220005989075,0.4935399889945984,0.4996240139007568,1536238,-169231404.5227662,0.6474750352808887,0.5181457966566085,0.3888165580323284,0.4960261120407955,0.5414731831073216,-0.0454470710665261,-0.0515005452166298,0.0060534741501037,10.26652120710136,-34156833.0,40.79648086855696,0.5181457966566085,0.6232150590419769,58.60166126839853,52.99046005537328
2024-06-27,39550.0,39620.0,20039.5,2324.5,160.62100219726562,413.75,81.73999786376953,105.91000366210938,0.4996109902858734,0.5071290135383606,0.4940490126609802,0.5022950172424316,800900,-169022484.2451148,0.6304849456520658,0.5118603467941284,0.393235747936191,0.4969905589948933,0.5385710967469595,-0.0415805377520661,-0.0495165437237171,0.007936005971651,9.960909078765232,-33355933.0,43.86384974044879,0.5118603467941284,0.6200385999679565,63.15129800038684,61.31843432419554
2024-06-28,39469.0,39835.0,19927.25,2327.699951171875,160.68699645996094,397.25,81.54000091552734,105.87000274658205,0.5022209882736206,0.526449978351593,0.4921459853649139,0.5110560059547424,1501736,-168868561.16870245,0.6186249928791767,0.5074280470609664,0.3962311012427562,0.4991544739117932,0.5365329418734619,-0.0373784679616687,-0.0470889285713074,0.0097104606096387,9.830807839006251,-31854197.0,46.19534796011856,0.5074280470609664,0.6167762005329132,74.16077900143394,65.30457942340644
2024-06-29,39469.0,39835.0,19927.25,2327.699951171875,160.68699645996094,397.25,81.54000091552734,105.87000274658205,0.5110459923744202,0.5164269804954529,0.48717200756073,0.4900150001049042,1192693,-169829442.82079256,0.5983118539719946,0.5008462980389595,0.4033807421059244,0.4977484010184256,0.5330871684091243,-0.0353387673906986,-0.0447388963351856,0.009400128944487,10.470233669554927,-33046890.0,45.18089776941829,0.5008462980389595,0.6135482209920883,61.26690080681772,66.1929926028795
2024-06-30,39469.0,39835.0,19927.25,2327.699951171875,160.68699645996094,397.25,81.54000091552734,105.87000274658205,0.4900200068950653,0.5133960247039795,0.4852660000324249,0.5101249814033508,633171,-169343525.8531783,0.5870748872649936,0.4972427979111671,0.4074107085573407,0.4996524903084141,0.5313862656679559,-0.0317337753595417,-0.0421378721400568,0.0104040967805151,10.295909373995933,-32413719.0,48.79070242743683,0.4972427979111671,0.6101917809247971,73.59024937716065,69.6726430618041
2024-07-01,39511.0,39580.0,20052.0,2327.60009765625,160.90699768066406,398.25,83.37999725341797,105.9000015258789,0.5101100206375122,0.5181180238723755,0.4937179982662201,0.497065007686615,817949,-169937074.83964804,0.5795212452964951,0.4942340984940528,0.4089469516916106,0.4992544160589065,0.5288439502619307,-0.0295895342030241,-0.0396282045526503,0.0100386703496262,10.15676395376977,-33231668.0,53.88138377108579,0.4942340984940528,0.6065939408540726,65.58712863615406,66.81475960671081
2024-07-02,39688.0,40305.0,20255.25,2323.0,161.51199340820312,402.0,82.80999755859375,105.72000122070312,0.4970270097255707,0.499345988035202,0.4816659986972809,0.4881510138511657,505876,-170071840.4877104,0.5661482495819634,0.4898756489157677,0.4136030482495719,0.4975462003346387,0.5258296586759481,-0.0282834583413094,-0.0373592553103821,0.0090757969690727,9.757271248321413,-33737544.0,60.22681820534305,0.4898756489157677,0.6028704208135605,60.12465447678655,66.43401083003376
2024-07-03,39636.0,40705.0,20411.5,2359.800048828125,161.50399780273438,403.5,83.87999725341797,105.4000015258789,0.4881690144538879,0.4885419905185699,0.4357190132141113,0.4392409920692444,2288483,-172055153.68294755,0.5582820390459581,0.4843386486172676,0.4103952581885771,0.4885761682938088,0.5194156833717478,-0.0308395150779389,-0.0360553072638935,0.0052157921859545,11.035221557126054,-36026027.0,56.65720912294818,0.4843386486172676,0.598051421046257,29.20478083711521,51.63885465001861
2024-07-04,39636.0,40705.0,20411.5,2359.800048828125,161.50399780273438,403.5,83.87999725341797,105.4000015258789,0.4391709864139557,0.4399909973144531,0.4165070056915283,0.4224900007247925,1646357,-172862628.9500195,0.5523289187679319,0.4784344479441643,0.4045399771203966,0.4784090655908832,0.5122360031756771,-0.0338269375847938,-0.0356096333280735,0.0017826957432797,10.532574412038413,-37672384.0,42.36357267518358,0.4784344479441643,0.5920058208703994,4.376253704241608,31.235229672714457
2024-07-05,39695.0,41080.0,20620.75,2388.5,161.35800170898438,411.25,83.16000366210938,104.87999725341795,0.421983003616333,0.421983003616333,0.3848460018634796,0.4041289985179901,2291931,-172774437.93074188,0.5492892965741512,0.4722287476062775,0.3951681986384038,0.4669813629642843,0.5042280769047373,-0.0372467139404529,-0.0359370494505494,-0.0013096644899034,10.032971411450044,-39964315.0,40.89360727246779,0.4722287476062775,0.5862896609306335,11.452342844515425,15.011125795290749
2024-07-06,39695.0,41080.0,20620.75,2388.5,161.35800170898438,411.25,83.16000366210938,104.87999725341795,0.4041210114955902,0.4587650001049042,0.3962199985980987,0.4401290118694305,953850,-172389008.6508451,0.5431185417379422,0.4682349488139152,0.3933513558898883,0.4628502320266144,0.499479998013233,-0.0366297659866186,-0.0360755927577632,-0.0005541732288553,8.884960219709516,-39010465.0,38.49580299720008,0.4682349488139152,0.5800827211141586,32.83307026435817,16.220555604371736
2024-07-07,39695.0,41080.0,20620.75,2388.5,161.35800170898438,411.25,83.16000366210938,104.87999725341795,0.4401359856128692,0.448646992444992,0.4200299978256225,0.4257659912109375,730712,-172826792.670377,0.5433596753201225,0.4661057487130165,0.3888518221059105,0.457144964208818,0.494019701213063,-0.036874737004245,-0.0362354216070596,-0.0006393153971854,8.606420948560318,-39741177.0,41.653801139008976,0.4661057487130165,0.5741031211614609,24.302744827339332,22.86271931207098
2024-07-08,39650.0,40955.0,20659.75,2355.199951171875,160.63800048828125,395.75,82.33000183105469,105.01000213623048,0.4247559905052185,0.43886598944664,0.4079360067844391,0.4216119945049286,1137190,-172958343.7954838,0.5432757900774623,0.4661631986498832,0.3890506072223042,0.4516783534851427,0.4886561673828308,-0.0369778138976881,-0.0363839000651853,-0.0005939138325028,8.629819649073903,-40878367.0,41.99016995096442,0.4661631986498832,0.5683938205242157,21.835649318038712,26.323821469912076
2024-07-09,39596.0,41555.0,20678.5,2360.10009765625,160.85699462890625,400.25,81.41000366210938,105.12000274658205,0.4215700030326843,0.4490340054035187,0.420318990945816,0.4353989958763122,887415,-172913687.34604222,0.5388874952595435,0.4683129981160164,0.3977385009724893,0.449173836929938,0.4847111917156813,-0.0355373547857433,-0.0362145910092969,0.0006772362235536,7.731643578108832,-39990952.0,34.347629098254814,0.4683129981160164,0.5620023202896118,30.023871788427265,25.387421977935105
2024-07-10,40049.0,42510.0,20899.75,2372.199951171875,161.33099365234375,403.25,82.0999984741211,105.0500030517578,0.4354020059108734,0.4877479970455169,0.4345380067825317,0.4860459864139557,756949,-172205162.90972316,0.5402632904683374,0.4692486971616745,0.3982341038550115,0.4548464753120946,0.484810065397035,-0.0299635900849403,-0.0349643908244256,0.0050008007394852,6.830878598569155,-39234003.0,47.553772643275344,0.4692486971616745,0.5570974403619766,71.46690861997378,41.10880990881325
2024-07-11,40089.0,41605.0,20441.75,2415.0,161.60699462890625,406.75,82.62000274658203,104.44000244140624,0.486048012971878,0.566648006439209,0.4746310114860534,0.4759289920330047,2016606,-174164876.90932295,0.5409894836924292,0.4700688973069191,0.399148310921409,0.4580899394230038,0.4841522081108105,-0.0260622686878066,-0.0331839663971018,0.0071216977092951,8.160790503420314,-41250609.0,45.37399136710825,0.4700688973069191,0.5525419807434082,50.10010221393601,50.530294207445685
2024-07-12,40301.0,41265.0,20524.0,2414.0,158.2010040283203,400.0,82.20999908447266,104.08999633789062,0.4759140014648437,0.4870589971542358,0.4698669910430908,0.4870109856128692,712046,-173456807.92761463,0.5382793714555404,0.4690502971410751,0.3998212228266099,0.4625393311445216,0.4843639694072593,-0.0218246382627377,-0.030912100770229,0.0090874625074912,7.724113894615928,-40538563.0,45.815302066026064,0.4690502971410751,0.5481183606386185,56.19574103795826,59.25425062395601
2024-07-13,40301.0,41265.0,20524.0,2414.0,158.2010040283203,400.0,82.20999908447266,104.08999633789062,0.4870379865169525,0.4983009994029999,0.4830189943313598,0.4969600141048431,608317,-172955249.71677518,0.540703019071684,0.4703553482890129,0.4000076775063418,0.4678348208307249,0.4852970097552285,-0.0174621889245036,-0.0282221184010839,0.0107599294765803,7.368643962414801,-39930246.0,51.25722063009841,0.4703553482890129,0.5442855405807495,61.66819361609096,55.9880122893284
