Date,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2022-11-17,0.21500499546527863,0.2268660068511963,0.2128159999847412,0.21751099824905396,251809,-95882488.01676379,0.2929016706178287,0.24093954712152482,0.188977423625221,0.22729553918093318,0.23746898983016887,-0.010173450649235694,-0.007489411778813281,-0.0026840388704224127,12.652299293905644,4272031.0,40.351925064169286,0.24093954712152482,0.24872763842344284,16.499366010013805,14.98777539566064
2022-11-18,0.21744300425052643,0.23834100365638733,0.2162960022687912,0.2254360020160675,268012,-95928261.00924583,0.29256387684958624,0.24014294743537903,0.18772201802117183,0.22700945654018462,0.23657765739949468,-0.009568200859310066,-0.007905169594912638,-0.0016630312643974281,11.692137464101236,4540043.0,32.78335838555951,0.24014294743537903,0.24728643864393235,23.724737608657925,16.73553119089357
2022-11-19,0.22567099332809448,0.23783999681472778,0.2164440006017685,0.22010700404644012,241878,-96087319.7802345,0.2924696018162159,0.2392960473895073,0.1861224929627987,0.22594754077191623,0.23535760900297215,-0.009410068231055918,-0.008206149322141296,-0.0012039189089146224,12.084674297645668,4298165.0,33.25553174860647,0.2392960473895073,0.24577895879745484,18.86619221095805,19.69676527654327
2022-11-20,0.22018399834632874,0.2313549965620041,0.21457700431346893,0.21710999310016632,242860,-96256850.18798038,0.29256595807124103,0.23855239674448966,0.18453883541773827,0.22458791805318545,0.23400593375091244,-0.009418015697726989,-0.008448522597258434,-0.0009694931004685554,11.345368692147227,4055305.0,29.45765152046785,0.23855239674448966,0.24425155848264693,17.29205012017279,19.96099331326293
2022-11-21,0.2164590060710907,0.22767400741577148,0.2091590017080307,0.2102620005607605,246076,-96473607.09828562,0.29285021075419776,0.23740189671516418,0.1819535826761306,0.22238393074665852,0.23224712388497526,-0.00986319313831674,-0.008731456705470094,-0.0011317364328466452,11.90480712624736,3809229.0,28.362113291033907,0.23740189671516418,0.24273207873106004,10.600375401736532,15.586205910955798
2022-11-22,0.21042600274085999,0.21883200109004974,0.20662400126457214,0.21108999848365784,232569,-96536016.7723986,0.28638769196876424,0.23387789726257324,0.18136810255638222,0.22064640270619687,0.23067992941080362,-0.010033526704606749,-0.008991870705297425,-0.0010416559993093235,10.663562690855484,4041798.0,33.0312456555354,0.23387789726257324,0.24120783895254136,19.671799803118258,15.854741775009202
2022-11-23,0.21099400520324707,0.22259800136089325,0.20895899832248688,0.2209009975194931,245678,-96351474.69528103,0.2843634365208613,0.23230379745364188,0.18024415838642244,0.22068557113901166,0.22995556408552137,-0.009269992946509709,-0.009047495153539883,-0.00022249779296982554,9.385556095901833,4287476.0,49.651264541986905,0.23230379745364188,0.2398029989004135,41.46227631849123,23.911483841115345
2022-11-24,0.2212029993534088,0.2220589965581894,0.18745799362659454,0.19066999852657318,248845,-96554119.22120531,0.277781152363356,0.22780444771051406,0.17782774305767216,0.21606779073709803,0.22704552219226595,-0.010977731455167922,-0.009433542413865492,-0.0015441890413024299,11.112693804608483,4038631.0,34.32731006478086,0.22780444771051406,0.2378201386332512,5.036147199541274,22.05674110705026
2022-11-25,0.1905760020017624,0.22071899473667145,0.18279999494552612,0.21407799422740936,236557,-96400421.74671005,0.27035007073204276,0.22485579773783684,0.17936152474363096,0.21576166819714593,0.22608496456523955,-0.01032329636809362,-0.009611493204711118,-0.0007118031633825024,10.509421416445527,4275188.0,48.69887174139818,0.22485579773783684,0.23636189877986907,45.703339776840814,30.73392109829111
2022-11-26,0.21408699452877045,0.22057099640369415,0.21179300546646118,0.21458299458026886,259928,-96495119.1602822,0.25897318622751164,0.22156939804553985,0.18416560986356806,0.21558033379454944,0.22523296678857507,-0.009652632994025634,-0.009619721162574021,-3.291183145161247e-05,10.186968045686204,4535116.0,48.03263492089034,0.22156939804553985,0.23516455858945848,46.44124511746567,32.39357736461593
2022-11-27,0.21462100744247437,0.21646399796009064,0.2087409943342209,0.21265199780464172,245600,-96491970.74613918,0.24401310109282243,0.2182317480444908,0.19245039499615918,0.21512982056533286,0.22430104316013558,-0.009171222594802714,-0.00953002144901976,0.0003587988542170465,10.031984515711255,4289516.0,51.01062534559007,0.2182317480444908,0.2340540185570717,43.61967712172788,45.2547540053448
2022-11-28,0.21274399757385254,0.2183070033788681,0.21079300343990326,0.21203799545764923,251395,-96660058.64492865,0.23347781758901137,0.21590869799256324,0.1983395783961151,0.21465415516415076,0.2233926692562477,-0.008738514092096944,-0.009371719977635197,0.0006332058855382534,9.802488776863303,4038121.0,52.22148564979709,0.21590869799256324,0.2328927582502365,42.722498320888484,44.261140186694014
2022-11-29,0.21218599379062653,0.22253699600696564,0.21218599379062653,0.22205999493598938,264119,-96420282.22649145,0.2335230647477903,0.2159273475408554,0.1983316303339205,0.21579351512904899,0.22329395263993226,-0.007500437510883279,-0.008997463484284814,0.0014970259734015355,8.233328404049574,4302240.0,47.20627703267499,0.2159273475408554,0.23203123807907106,70.25642695070015,52.19953413110551
2022-11-30,0.22208000719547272,0.22610700130462646,0.2148520052433014,0.22373700141906738,234377,-96284612.23037392,0.23181716137812342,0.2155051477253437,0.199193134072564,0.217015589942898,0.22332677106801635,-0.006311181125118359,-0.008460207012451523,0.002149025887333164,7.563727489352555,4536617.0,54.10780863587311,0.2155051477253437,0.23146767795085907,73.70591091160719,62.22827872773195
2022-12-01,0.22382600605487823,0.22509700059890747,0.21407899260520935,0.21872800588607788,242589,-96322481.92261317,0.231899598277648,0.21555364802479743,0.19920769777194686,0.21727903854954106,0.22298612179528018,-0.005707083245739125,-0.007909582259109045,0.00220249901336992,7.637927143556704,4294028.0,50.56797789966111,0.21555364802479743,0.230796177983284,64.6873575215399,69.54989846128241
2022-12-02,0.21873199939727783,0.22221599519252777,0.2131109982728958,0.22185899317264557,273046,-96070847.89824872,0.23211158647787256,0.21564279794692992,0.19917400941598729,0.2179836469530956,0.22290263078619615,-0.004918983833100549,-0.0073114625739073465,0.002392478740806798,7.113527143083105,4567074.0,48.2524057582768,0.21564279794692992,0.23045705795288085,70.96474714694853,69.78600519336521
2022-12-03,0.22181099653244019,0.22223199903964996,0.21518400311470032,0.2162020057439804,277264,-96268016.6502183,0.23220633241889493,0.21595314815640448,0.19969996389391403,0.21770954830553943,0.22240628819047648,-0.004696739884937046,-0.006788518036113287,0.0020917781511762415,6.825627026213955,4289810.0,48.09825713752788,0.21595314815640448,0.22989741802215577,68.79211125044353,68.14807197297732
